guest_id,is_canceled,booking_changes,previous_cancellations,previous_bookings_not_canceled
TR809,1,1,0,0
TR810,0,2,0,0
TP811,0,0,0,0
TP812,0,0,0,0
TR813,1,0,0,0
CO814,0,0,0,0
TR815,0,0,0,0
TR816,0,0,0,0
TR817,1,0,0,0
TR818,1,0,0,0
TR819,1,0,0,0
TP820,0,0,0,0
TR821,1,0,0,0
TP822,0,0,0,0
TR823,1,0,0,0
TR824,1,0,0,0
TP825,0,0,0,0
TR826,1,0,0,0
TR827,1,0,0,0
TR828,0,0,0,0
TR829,0,0,0,0
TR830,1,0,0,0
TR831,1,0,0,0
TR832,1,0,0,0
TR833,1,0,0,0
TR834,1,0,0,0
TR835,1,0,0,0
TR836,0,0,0,0
TR837,0,0,0,0
TR838,1,0,0,0
TR839,0,1,0,0
TR840,0,0,0,0
CO841,0,0,0,0
TR842,0,0,0,0
TP843,1,0,0,0
TP844,1,0,0,0
TR845,1,0,0,0
TP846,1,0,0,0
TR847,1,1,0,0
TP848,1,0,0,0
TP849,1,1,0,0
TR850,1,1,0,0
TR851,0,0,0,0
TR852,1,1,0,0
TR853,1,1,0,0
TR854,0,0,0,0
TR855,1,0,0,0
TR856,1,0,0,0
TR857,1,0,0,0
TR858,1,1,0,0
TR859,1,0,0,0
TR860,1,0,0,0
TR861,1,1,0,0
TR862,0,1,0,0
TR863,1,0,0,0
TR864,0,2,0,0
TR865,1,0,0,0
TR866,1,0,0,0
TR867,1,0,0,0
TR868,1,1,0,0
TR869,0,0,0,0
TR870,1,0,0,0
TR871,1,0,0,0
TR872,1,0,0,0
TR873,1,0,0,0
TR874,0,0,0,0
TR875,0,4,0,0
TR876,0,0,0,0
TR877,0,0,0,0
TR878,0,3,0,0
TR879,0,0,0,0
TR880,0,0,0,0
CO881,1,0,0,0
TR882,0,0,0,0
TR883,0,0,0,0
TR884,1,0,0,0
CO885,1,0,0,0
TR886,1,0,0,0
CO887,1,1,0,0
TR888,0,0,0,0
TR889,1,1,0,0
CO890,0,0,0,0
TR891,1,0,0,0
TR892,1,0,0,0
TR893,0,0,0,0
TR894,0,0,0,0
TR895,0,0,0,0
TR896,1,0,0,0
TR897,1,0,0,0
TP898,0,1,0,0
TP899,0,1,0,0
TR900,1,0,0,0
TR901,0,1,0,0
TR902,1,0,0,0
TP903,0,0,0,0
TR904,0,0,0,0
TP905,0,0,0,0
TR906,0,1,0,0
TR907,0,0,0,0
TR908,0,0,0,0
TR909,1,0,0,0
TR910,0,0,0,0
TR911,0,0,0,0
TR912,1,0,0,0
TR913,1,1,0,0
TR914,0,0,0,0
TR915,0,0,0,0
TR916,1,0,0,0
TR917,1,0,0,0
TR918,0,1,0,0
TR919,0,1,0,0
TR920,1,0,0,0
TR921,1,1,0,0
TR922,0,0,0,0
TR923,1,0,0,0
TP924,0,0,0,0
TR925,0,2,0,0
TR926,0,1,0,0
TR927,0,1,0,0
TR928,0,1,0,0
TR929,1,0,0,0
TR930,0,0,0,0
TR931,0,2,0,0
TR932,0,0,0,0
TR933,0,1,0,0
TR934,0,0,0,0
TR935,0,0,0,0
TR936,1,0,0,0
TR937,0,1,0,0
TR938,1,0,0,0
TR939,0,0,0,0
TR940,0,0,0,0
TR941,1,0,0,0
TR942,0,0,0,0
TR943,1,1,0,0
TR944,0,0,0,0
TR945,1,0,0,0
TR946,1,0,0,0
TP947,0,0,0,0
TR948,0,0,0,0
TR949,1,0,0,0
TR950,1,0,0,0
TR951,0,0,0,0
TP952,1,0,0,0
TP953,1,0,0,0
TR954,0,0,0,0
TR955,0,1,0,0
TR956,0,0,0,0
TR957,1,0,0,0
TR958,1,0,0,0
TR959,0,0,0,0
TR960,0,0,0,0
TR961,1,0,0,0
TR962,0,0,0,0
TR963,0,0,0,0
TR964,0,0,0,0
TR965,0,0,0,0
TR966,1,0,0,0
TR967,1,0,0,0
TR968,1,0,0,0
TR969,1,0,0,0
TR970,1,0,0,0
TR971,0,0,0,0
TR972,1,0,0,0
TR973,0,0,0,0
TR974,1,0,0,0
TR975,0,0,0,0
TR976,1,0,0,0
TR977,1,0,0,0
TR978,1,0,0,0
CO979,0,0,0,0
TR980,0,0,0,0
TR981,1,0,0,0
TR982,1,1,0,0
TR983,0,0,0,0
TR984,0,0,0,0
TR985,0,0,0,0
TR986,0,0,0,0
TR987,1,0,0,0
TR988,1,0,0,0
TR989,0,1,0,0
TR990,0,0,0,0
TR991,0,0,0,0
TR992,1,0,0,0
TR993,1,0,0,0
TR994,0,0,0,0
TR995,1,0,0,0
TR996,1,0,0,0
TR997,1,0,0,0
TR998,0,0,0,0
TR999,0,0,0,0
TR1000,0,0,0,0
TR1001,1,0,0,0
TR1002,0,0,0,0
TR1003,1,0,0,0
TR1004,0,0,0,0
TP1005,1,0,0,0
TP1006,1,1,0,0
TR1007,0,0,0,0
TR1008,0,0,0,0
TR1009,1,0,0,0
TR1010,0,0,0,0
TR1011,1,0,0,0
TR1012,0,0,0,0
TR1013,1,0,0,0
TR1014,0,0,0,0
TR1015,1,0,0,0
TR1016,0,0,0,0
TR1017,1,0,0,0
TR1018,0,0,0,0
TR1019,0,0,0,0
TR1020,1,0,0,0
TR1021,1,0,0,0
TR1022,0,0,0,0
TR1023,1,0,0,0
TR1024,1,0,0,0
TR1025,1,0,0,0
TR1026,1,0,0,0
TR1027,1,0,0,0
TR1028,0,0,0,0
TR1029,0,0,0,0
TR1030,0,0,0,0
TR1031,1,1,0,0
TR1032,1,0,0,0
TR1033,1,1,0,0
TR1034,1,0,0,0
TR1035,1,0,0,0
TR1036,1,0,0,0
TR1037,1,0,0,0
TR1038,1,0,0,0
TR1039,0,0,0,0
TR1040,1,0,0,0
TR1041,1,0,0,0
TP1042,1,0,0,0
TR1043,0,0,0,0
TR1044,1,0,0,0
TP1045,1,0,0,0
TR1046,1,0,0,0
TR1047,1,0,0,0
TR1048,0,0,0,0
TR1049,1,0,0,0
TR1050,1,1,0,0
TR1051,1,0,0,0
TR1052,0,0,0,0
TR1053,0,1,0,0
TR1054,0,1,0,0
TR1055,1,0,0,0
TR1056,0,1,0,0
TR1057,1,0,0,0
TR1058,1,0,0,0
TP1059,1,0,0,0
TR1060,1,0,0,0
TP1061,0,0,0,0
TR1062,0,0,0,0
TR1063,1,0,0,0
TR1064,1,1,0,0
TR1065,1,1,0,0
TR1066,1,0,0,0
TR1067,1,0,0,0
TP1068,1,0,0,0
TP1069,0,0,0,0
TP1070,0,0,0,0
TR1071,0,0,0,0
TR1072,1,0,0,0
TR1073,0,0,0,0
TR1074,0,0,0,0
TR1075,0,0,0,0
TR1076,1,0,0,0
TR1077,1,0,0,0
TR1078,1,0,0,0
CO1079,0,0,0,0
TR1080,1,0,0,0
TR1081,0,0,0,0
TR1082,1,0,0,0
TR1083,0,0,0,0
TR1084,0,0,0,0
TR1085,1,0,0,0
TR1086,1,0,0,0
TR1087,0,1,0,0
TR1088,0,0,0,0
TP1089,0,0,0,0
TR1090,0,0,0,0
TR1091,1,0,0,0
CO1092,1,0,0,0
TR1093,0,0,0,0
TR1094,0,0,0,0
TR1095,0,1,0,0
TP1096,0,0,0,0
TR1097,0,0,0,0
TP1098,0,0,0,0
TR1099,0,1,0,0
TR1100,0,0,0,0
TR1101,1,1,0,0
TR1102,1,0,0,0
TR1103,0,0,0,0
TR1104,0,0,0,0
TR1105,1,0,0,0
TR1106,1,0,0,0
TR1107,0,0,0,0
TR1108,1,0,0,0
TR1109,0,0,0,0
TR1110,0,0,0,0
TP1111,1,0,0,0
TR1112,0,2,0,0
TR1113,1,0,0,0
TR1114,0,0,0,0
TR1115,0,0,0,0
TR1116,1,1,0,0
TR1117,0,0,0,0
TR1118,0,0,0,0
TR1119,0,0,0,0
TR1120,0,0,0,0
TR1121,0,0,0,0
TR1122,1,0,0,0
TR1123,1,1,0,0
TR1124,1,0,0,0
TR1125,0,0,0,0
TR1126,1,0,0,0
TP1127,0,0,0,0
TR1128,1,0,0,0
TP1129,0,0,0,0
TR1130,1,0,0,0
TR1131,0,0,0,0
TP1132,0,0,0,0
TR1133,0,1,0,0
TR1134,1,0,0,0
TR1135,1,0,0,0
TR1136,0,0,0,0
TR1137,1,0,0,0
TR1138,1,0,0,0
TR1139,0,0,0,0
TR1140,1,0,0,0
TR1141,0,1,0,0
TR1142,1,1,0,0
TR1143,1,0,0,0
TR1144,0,0,0,0
TR1145,1,0,0,0
TR1146,1,0,0,0
TR1147,1,1,0,0
